,Unnamed: 0,Entity,continent,co2_emissions_change,change
128,128,Saudi Arabia,Asia,109.79733609709204,positive
129,129,Senegal,Africa,161.57635197044334,positive
130,130,Serbia,Europe,-10.707342437830448,negative
131,131,Seychelles,Africa,110.34483251724136,positive
132,132,Sierra Leone,Africa,172.72726551515152,positive
133,133,Singapore,Asia,12.488131695156692,positive
134,134,Slovenia,Europe,-6.464921733149935,negative
135,135,Solomon Islands,Oceania,50.000005958333325,positive
136,136,Somalia,Africa,40.81632604081633,positive
137,137,South Africa,Africa,54.44390311248507,positive
138,138,South Sudan,Africa,17.241378739595735,positive
139,139,Spain,Europe,-18.182129589853737,negative
140,140,Sri Lanka,Asia,117.56633751143642,positive
141,141,Sudan,Africa,262.3901729349737,positive
142,142,Suriname,South America,79.05406047297296,positive
143,143,Sweden,Europe,-34.30930930930931,negative
144,144,Switzerland,Europe,-14.48180949439488,negative
145,145,Tajikistan,Asia,328.1818216363637,positive
146,146,Thailand,Asia,62.37461018906925,positive
147,147,Togo,Africa,86.6141642519685,positive
148,148,Tonga,Oceania,59.99999639999999,positive
149,149,Trinidad and Tobago,North America,68.52941696078433,positive
150,150,Tunisia,Africa,44.49275289855073,positive
151,151,Turkmenistan,Asia,89.22358543235524,positive
152,152,Tuvalu,Oceania,-2.240000007702747e-06,negative
153,153,Uganda,Africa,350.7692410769231,positive
154,154,Ukraine,Europe,-41.24352824668774,negative
155,155,United Arab Emirates,Asia,122.89625941225069,positive
156,156,United Kingdom,Europe,-34.27640125072991,negative
157,157,United States,North America,-16.58797268261941,negative
158,158,Uruguay,South America,18.864464670329667,positive
159,159,Uzbekistan,Asia,-5.734594055407478,negative
160,160,Vanuatu,Oceania,133.333326,positive
161,161,Zambia,Africa,275.6906182872928,positive
162,162,Zimbabwe,Africa,-14.160582262773724,negative
